Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,RITC,PMV,PMV Currency,Exim Scheme,NFEI Category,Manufacturer,Manufacturer Addr,Manufacturer CodeType,Manufacturer Code,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SourceState,TransitCntry,End Use,IGST Pay Status,IGST Taxable Amt,IGST Rate,Reward Item,DEEC Regn No,DEEC Regn Date,DEEC Item SNo(Part E),DEEC Export Qty,DEEC Item SNo(Part C),DEEC Item Type,DEEC Item Desc,DEEC Qty,DEEC Unit,EPCG Regn No,EPCG Regn Date,EPCG Item SNo(Part E),EPCG Export Qty,EPCG Item SNo(Part C),EPCG Item Type,EPCG Item Desc,EPCG Qty,EPCG Unit,DBK Sr. No,DBK QTY,DBK Under,DFIA Regn No,DFIA Regn Date,DFIA Exp Item SNo,DFIA Export Qty,DFIA Imp Item SNo,DFIA Item Type,DFIA Item Desc,DFIA Qty,DFIA Unit,DFRC Regn No,DFRC Prod Group,DFRC SION Sr No,DFRC SION IONorm SNo,DFRC Qty,DFRC Unit,DFRC Item Type,DFRC Item Description,DFRC Tech. Details,Re-Exp BE No,Re-Exp BE Date,Re-Exp Inv SNo,Re-Exp Item SNo,Re-Exp Imp Port Code,Re-Exp Manual BE,Re-Exp BE Item Desc.,Re-Exp Qty Imported,Re-Exp Unit,Re-Exp Assessable Value,Re-Exp Tot Duty Paid,Re-Exp Duty Paid On,Re-Exp Qty Exported,Re-Exp Unit,Re-Exp Tech. Details,Re-Exp Input Credit Availed,Re-Exp Personal Use Item,Re-Exp Othr Identifying Params,Re-Exp Obligation No.,Re-Exp DBK Amt. Claimed,Re-Exp Item Un-Used,Re-Exp Commissioner Permission,Re-Exp Board No.,Re-Exp Board Date,Re-Exp MODVAT Availed,Re-Exp MODVAT Reversed,Product Material Code,IGST Amount,TP Exporter Name, TP Exporter IE Code,TP Exporter BrS_No.,TP Exporter  Reg Type,TP Exporter  Reg No,TP Exporter Addr,SQC Qty,SQC Unit,CompCessRate,Origin District,PTAFTA Code,PerNoOfUnitsForItemRate,RoDTEP Status ,RoDTEP QTY,RoDTEP Unit,Medicinal Plant,Formulation,Surface Material in Contact,GST Allowed,LGD Code
100008462,07.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5QP805115  WHEEL HOUSING,FR",32,PCS,EUR,13.37,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.63,KGS,,490,NCPTI ,,Y,113.63,KGS,,,,,
100008462,07.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5QP803205A  FLOOR ASSEMBLY,FR",60,PCS,EUR,8.22,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.84,KGS,,490,NCPTI ,,Y,207.84,KGS,,,,,
100008462,07.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5QP803206A  FLOOR ASSEMBLY,FR",60,PCS,EUR,8.23,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.12,KGS,,490,NCPTI ,,Y,201.12,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JM839015A  DOOR LOCK,80,PCS,EUR,8.51,83012000,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,830199B,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,NOS,,490,NCPTI ,,Y,80,NOS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JN837015A  DOOR LOCK,80,PCS,EUR,8.47,83012000,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,830199B,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,NOS,,490,NCPTI ,,Y,80,NOS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JN837016A  DOOR LOCK,80,PCS,EUR,8.48,83012000,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,830199B,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,NOS,,490,NCPTI ,,Y,80,NOS,,,,,
100008462,07.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5QP801252A  SILL, INNER",28,PCS,EUR,16.24,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.5,KGS,,490,NCPTI ,,Y,174.5,KGS,,,,,
100008462,07.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5JL802124  A-PILLAR,LOWER INN",32,PCS,EUR,10.62,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.95,KGS,,490,NCPTI ,,Y,101.95,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL809065  REINFORCEMENT,100,PCS,EUR,0.58,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,KGS,,490,NCPTI ,,Y,12.2,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL809377  SILL,32,PCS,EUR,14.44,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.74,KGS,,490,NCPTI ,,Y,172.74,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL809378  SILL,16,PCS,EUR,13.64,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.35,KGS,,490,NCPTI ,,Y,86.35,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL809605  SIDE PANEL,8,PCS,EUR,36.85,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.04,KGS,,490,NCPTI ,,Y,103.04,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL809621  HINGE REINF.,90,PCS,EUR,1.28,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.62,KGS,,490,NCPTI ,,Y,28.62,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL809622  HINGE REINF.,90,PCS,EUR,1.28,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.62,KGS,,490,NCPTI ,,Y,28.62,KGS,,,,,
100008462,07.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5JL810421  SIDE PANEL,INNER,",114,PCS,EUR,0.76,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.49,KGS,,490,NCPTI ,,Y,19.49,KGS,,,,,
100008462,07.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5JL810422  SIDE PANEL,INNER,",114,PCS,EUR,0.76,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.38,KGS,,490,NCPTI ,,Y,19.38,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL813501B  REAR PANEL,7,PCS,EUR,29.65,87081090,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.15,KGS,,490,NCPTI ,,Y,89.15,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL817111A  ROOF,22,PCS,EUR,25.54,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.27,KGS,,490,NCPTI ,,Y,167.27,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL821135  STRUT,72,PCS,EUR,0.8,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.93,KGS,,490,NCPTI ,,Y,17.93,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL821136  STRUT,72,PCS,EUR,0.8,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.93,KGS,,490,NCPTI ,,Y,17.93,KGS,,,,,
100008462,07.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5JL823105  OUTER PANEL,ENGINE",50,PCS,EUR,17.41,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.2,KGS,,490,NCPTI ,,Y,364.2,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL823189  HINGE REINF.,29,PCS,EUR,0.9,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34,KGS,,490,NCPTI ,,Y,9.34,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL823301  HINGE,54,PCS,EUR,2.44,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.72,KGS,,490,NCPTI ,,Y,36.72,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL823302  HINGE,36,PCS,EUR,2.44,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.48,KGS,,490,NCPTI ,,Y,24.48,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL831111  DOOR OUTER PANEL,26,PCS,EUR,8.52,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.92,KGS,,490,NCPTI ,,Y,103.92,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL831561  HINGE REINF.,34,PCS,EUR,2.29,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.32,KGS,,490,NCPTI ,,Y,33.32,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL831563  HINGE REINF.,66,PCS,EUR,1.28,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.07,KGS,,490,NCPTI ,,Y,26.07,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL831564  HINGE REINF.,66,PCS,EUR,1.28,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.07,KGS,,490,NCPTI ,,Y,26.07,KGS,,,,,
100008462,07.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL831601  FRAME PART,28,PCS,EUR,4.92,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.37,KGS,,490,NCPTI ,,Y,39.37,KGS,,,,,
