Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,RITC,PMV,PMV Currency,Exim Scheme,NFEI Category,Manufacturer,Manufacturer Addr,Manufacturer CodeType,Manufacturer Code,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SourceState,TransitCntry,End Use,IGST Pay Status,IGST Taxable Amt,IGST Rate,Reward Item,DEEC Regn No,DEEC Regn Date,DEEC Item SNo(Part E),DEEC Export Qty,DEEC Item SNo(Part C),DEEC Item Type,DEEC Item Desc,DEEC Qty,DEEC Unit,EPCG Regn No,EPCG Regn Date,EPCG Item SNo(Part E),EPCG Export Qty,EPCG Item SNo(Part C),EPCG Item Type,EPCG Item Desc,EPCG Qty,EPCG Unit,DBK Sr. No,DBK QTY,DBK Under,DFIA Regn No,DFIA Regn Date,DFIA Exp Item SNo,DFIA Export Qty,DFIA Imp Item SNo,DFIA Item Type,DFIA Item Desc,DFIA Qty,DFIA Unit,DFRC Regn No,DFRC Prod Group,DFRC SION Sr No,DFRC SION IONorm SNo,DFRC Qty,DFRC Unit,DFRC Item Type,DFRC Item Description,DFRC Tech. Details,Re-Exp BE No,Re-Exp BE Date,Re-Exp Inv SNo,Re-Exp Item SNo,Re-Exp Imp Port Code,Re-Exp Manual BE,Re-Exp BE Item Desc.,Re-Exp Qty Imported,Re-Exp Unit,Re-Exp Assessable Value,Re-Exp Tot Duty Paid,Re-Exp Duty Paid On,Re-Exp Qty Exported,Re-Exp Unit,Re-Exp Tech. Details,Re-Exp Input Credit Availed,Re-Exp Personal Use Item,Re-Exp Othr Identifying Params,Re-Exp Obligation No.,Re-Exp DBK Amt. Claimed,Re-Exp Item Un-Used,Re-Exp Commissioner Permission,Re-Exp Board No.,Re-Exp Board Date,Re-Exp MODVAT Availed,Re-Exp MODVAT Reversed,Product Material Code,IGST Amount,TP Exporter Name, TP Exporter IE Code,TP Exporter BrS_No.,TP Exporter  Reg Type,TP Exporter  Reg No,TP Exporter Addr,SQC Qty,SQC Unit,CompCessRate,Origin District,PTAFTA Code,PerNoOfUnitsForItemRate,RoDTEP Status ,RoDTEP QTY,RoDTEP Unit,Medicinal Plant,Formulation,Surface Material in Contact,GST Allowed,LGD Code
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5QP803067C  TUNNEL,16,PCS,EUR,31.9,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.336,KGS,,490,NCPTI ,,Y,180.336,KGS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL817401  REINF.FRAME,22,PCS,EUR,21.09,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.346,KGS,,490,NCPTI ,,Y,126.346,KGS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL831601  FRAME PART,14,PCS,EUR,5.87,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.684,KGS,,490,NCPTI ,,Y,19.684,KGS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL863413  4PK  REAR SHELF,18,PCS,EUR,11.06,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.442,KGS,,490,NCPTI ,,Y,44.442,KGS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL867428A CA9  LUGGAGE COMP. SIDE,15,PCS,EUR,10.54,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.155,KGS,,490,NCPTI ,,Y,19.155,KGS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL881000G  SEATS,6,PCS,EUR,425.28,94012000,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,9401B,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,NOS,,490,NCPTI ,,Y,6,NOS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL885021J  REAR SEAT WITH BAC,8,PCS,EUR,95.48,94012000,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,9401B,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,NOS,,490,NCPTI ,,Y,8,NOS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL885021K  REAR SEAT WITH BAC,12,PCS,EUR,63.66,94012000,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,9401B,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,NOS,,490,NCPTI ,,Y,12,NOS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5QP802226E  MOUNTING,48,PCS,EUR,16.96,87082900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.992,KGS,,490,NCPTI ,,Y,208.992,KGS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL807248  FOAM PART,56,PCS,EUR,2.19,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.072,KGS,,490,NCPTI ,,Y,9.072,KGS,,,,,
100008468,09.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JL807307C B9A  REAR BUMPER,4,PCS,EUR,102.55,87081090,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.91,KGS,,490,NCPTI ,,Y,18.91,KGS,,,,,
100008468,09.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5JL845026  DOOR WINDOW,REAR",30,PCS,EUR,4.09,70071100,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,7007B,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.52,KGS,,490,NCPTI ,,Y,59.52,KGS,,,,,
100008468,09.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5JL845201  DOOR WINDOW, FRONT",150,PCS,EUR,5.46,70071100,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,7007B,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.65,KGS,,490,NCPTI ,,Y,388.65,KGS,,,,,
100008468,09.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5JL845202  DOOR WINDOW, FRONT",150,PCS,EUR,5.46,70071100,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,7007B,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.65,KGS,,490,NCPTI ,,Y,388.65,KGS,,,,,
100008468,09.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5JL863323A 4PK  EXTENSION,CENTER C",51,PCS,EUR,4.49,87089900,,,19,,,,,,,,,,,GNX200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.403,KGS,,490,NCPTI ,,Y,38.403,KGS,,,,,
